Survey,skdatecompletedqx,orders,email_send,email_clicks,complete_total
OGP,3/12/2018,11822,8396,3322,693
OGP,3/13/2018,11734,6372,3462,20
OGP,3/14/2018,11893,9358,3728,478
OGP,3/15/2018,10096,5830,3614,96
OGP,3/16/2018,11752,6439,3401,858
OGP,3/17/2018,10008,9217,3155,970
OGP,3/18/2018,11416,5158,3440,676
OGP,3/19/2018,11503,8396,3759,521
OGP,3/20/2018,11488,6256,3462,332
OGP,3/21/2018,11048,9517,3928,986
OGP,3/22/2018,10423,6690,3940,572
OGP,3/23/2018,11774,5570,3955,498
OGP,3/24/2018,10303,5162,3158,291
OGP,3/25/2018,11046,9920,3838,378
OGP,3/26/2018,10679,9857,3667,955
OGP,3/27/2018,10526,7941,3590,636
OGP,3/28/2018,10123,9663,3428,369
OGP,3/29/2018,10786,6532,3698,834
OGP,3/30/2018,11795,9538,3619,943
OGP,3/31/2018,11742,9017,3405,739
OGP,4/1/2018,11541,9041,3983,978
OGP,4/2/2018,10363,9278,3511,542
OGP,4/3/2018,11878,8495,3689,292
OGP,4/4/2018,11407,5295,3485,599
OGP,4/5/2018,11036,5190,3194,517
OGP,4/6/2018,10024,9893,3885,909
OGP,4/7/2018,11080,7348,3637,624
OGP,4/8/2018,10944,9820,3534,552
OGP,4/9/2018,10000,8795,3298,625
